buckets,startDay,endDay,microCeph,births,local,N_H,L_H
31,424,455,0,8541,goias,6610681,73.8
30,455,485,0,8808,goias,6610681,73.8
31,485,516,0,8247,goias,6610681,73.8
30,516,546,1,8466,goias,6610681,73.8
31,546,577,1,8050,goias,6610681,73.8
31,577,608,0,8332,goias,6610681,73.8
30,608,638,0,8274,goias,6610681,73.8
31,638,669,1,7912,goias,6610681,73.8
30,669,699,1,8269,goias,6610681,73.8
31,699,730,0,8207,goias,6610681,73.8
31,730,761,0,7821,goias,6610681,73.8
28,761,789,0,9194,goias,6610681,73.8
31,789,820,0,8929,goias,6610681,73.8
30,820,850,1,8825,goias,6610681,73.8
31,850,881,0,8249,goias,6610681,73.8
30,881,911,0,8324,goias,6610681,73.8
31,911,942,1,9303,goias,6610681,73.8
31,942,973,0,8510,goias,6610681,73.8
30,973,1003,1,8026,goias,6610681,73.8
31,1003,1034,0,7924,goias,6610681,73.8
30,1034,1064,7,8386,goias,6610681,73.8
31,1064,1095,0,7981,goias,6610681,73.8
31,1095,1126,1,8121,goias,6610681,73.8
28,1126,1154,0,9056,goias,6610681,73.8
31,1154,1185,0,8498,goias,6610681,73.8
30,1185,1215,2,8779,goias,6610681,73.8
31,1215,1246,1,8130,goias,6610681,73.8
30,1246,1276,2,7898,goias,6610681,73.8
31,1276,1307,8,7534,goias,6610681,73.8
31,1307,1338,3,7552,goias,6610681,73.8
30,1338,1368,4,6439,goias,6610681,73.8
31,1368,1399,1,3504,goias,6610681,73.8
30,1399,1429,0,854,goias,6610681,73.8
31,365,396,0,8543,maranhao,6904241,70
28,396,424,0,9580,maranhao,6904241,70
31,424,455,0,9711,maranhao,6904241,70
30,455,485,0,9997,maranhao,6904241,70
31,485,516,1,9317,maranhao,6904241,70
30,516,546,0,9824,maranhao,6904241,70
31,546,577,0,10244,maranhao,6904241,70
31,577,608,0,10646,maranhao,6904241,70
30,608,638,1,10327,maranhao,6904241,70
31,638,669,0,9884,maranhao,6904241,70
30,669,699,0,9599,maranhao,6904241,70
